Object Number,Title,Period,Classification,Link Resource
12.37.135,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/35969
13.100.22,明   丁雲鵬   潯陽送客圖   軸|Song of the Lute,late Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/35970
13.100.25,清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/35971
13.100.40,清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/35972
13.100.42,清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/35973
13.100.43,清   倣王時敏  山水  扇面|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/35974
13.100.45,清   佚名   倣王翬   臨燕文貴勘書圖   扇|Landscape in the Style of Yan Wengui,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/35975
13.100.47,明（？）　陸克正　倣北苑山水　扇|Landscape in the manner of Dong Yuan,Ming (1368–1644) or Qing (1644–1911) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/35977
13.100.49,明/清　佚名　倣文徴明　山水　扇|Landscape,Ming dynasty (1368–1644) or later,Paintings,http://www.metmuseum.org/art/collection/search/35979
13.100.57,明/清   沈顥   漁父圖   扇|Qu Yuan and the Fisherman,Ming (1368–1644) or Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/35981
13.100.61,明   宋懋晉   樓居圖   扇|Dwelling in Landscape,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/35984
13.100.65,明    程嘉燧   園鷄圖   扇|Landscape with Chicken,Ming (1368–1644)–Qing (1644–1911) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/35986
13.100.70,明　李流芳　疏林小景　扇|Figure standing in a grove of trees,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/35988
13.100.75,明   陳季淳   山水人物圖  扇頁|Landscape with figure,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/35989
13.100.77,明　吳彬　翠壁丹楓　扇|Azure Cliff with Red Maples,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/35990
13.100.79,明/清   潘雲馭   秋江落照   扇|Setting Sun on the Autumn River,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/35992
13.100.83,明/清   祁豸佳   山水 圖|Landscape with fisherman,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/35994
13.100.85,明   張翀   花鳥圖   扇面|Bird on a flowering branch,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/35996
13.100.87,明   佚名   倣邵彌   倣文徵明山水  扇頁|Landscape After Wen Zhengming,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/35998
13.100.89,明/清   莊冏生   山水   扇面|River Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36000
13.100.91,明/清   文止   疏影橫斜   扇|Plum Blossoms,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36001
13.100.93,清　吳山濤　山水圖　扇|Riverscape with moored boats,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36002
13.100.101,元末明初 佚名牧羊圖團扇頁 絹本設色|Sheep and herd boy,late Yuan (1271–1368)–early Ming (1368–1644) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/36004
13.100.102,"南宋  夏珪  山市晴嵐圖  冊頁|Mountain Market, Clearing Mist",Southern Song dynasty (1127–1279),Paintings,http://www.metmuseum.org/art/collection/search/36005
13.100.112,,Southern Song dynasty (1127–1279),Paintings,http://www.metmuseum.org/art/collection/search/36006
13.100.117,南宋  佚名  雪景待渡圖  團扇|Waiting for the Ferry,Song dynasty (960–1279),Paintings,http://www.metmuseum.org/art/collection/search/36007
13.100.123,明   佚名   觀音羅漢圖   扇|Guanyin and the sixteen luohans,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36008
13.100.124,,Yuan dynasty (1271–1368) (?),Paintings,http://www.metmuseum.org/art/collection/search/36009
13.200,明  佚名  遊行天王圖  軸|Journey of the Tianwang (Devaradja),Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36010
13.220.1,明　佚名　舊傳夏珪　長江萬里圖　卷 (前半) |First half of Ten Thousand Li of the Yangzi River,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36011
13.220.8,明 佚名 人物山水  軸|Scholar Admiring Autumn Scenery,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36012
13.220.15,明   傳仇英   文玉圖	軸圖  軸|Lady in a Bamboo Grove,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36013
13.220.30,清 山水圖  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36014
13.220.31,清   陳書   白鸚鵡圖   軸|Cockatoo,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36015
13.220.35,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36016
13.220.36,清    湯貽汾    山水圖    軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36017
"13.220.37a, b",清   佚名   倣石濤   十六羅漢圖   卷|(Copy after) The Sixteen Luohans,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36018
13.220.98,明   佚名   傳文伯仁   山水圖   卷|Landscape,Ming (1368–1644)–Qing (1644–1911) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/36019
13.220.99b,明/清   佚名   傳馬麟   石榴白鳥圖   冊頁	|Pomegranates after Ma Lin,Ming (1368–1644)–Qing (1644–1911) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/36020
13.220.104,明?   佚名   舊傳貫休   羅漢圖   軸|Luohan,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36021
13.220.111,明  顧懿德  倣王蒙玩月圖  軸|Enjoying the Moon: Landscape in the Manner of Wang Meng,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36022
13.220.115,明  傳張路  溪畔漁家圖  軸|Fisherman and family,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36023
13.220.116,明   居節   石泉圖   軸|Recluse gazing at a waterfall,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36024
13.220.117,清   佚名   倣吳歷   茂林草堂圖   軸|A Lodge in the Hills,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36025
13.220.118,清 佚名 傳王文治  蘭亭修禊圖 軸|Spring Ablutions at the Orchid Pavilion,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36026
13.220.123,清  張庚  倣王蒙山水圖  軸|Landscape After Wang Meng,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36027
14.76.4,明   佚名   絹本設色   童子戯魚圖   軸|Children Playing,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36028
14.76.6,수월관음도 고려|水月觀音圖 高麗|Water-moon Avalokiteshvara,Goryeo dynasty (918–1392),Paintings,http://www.metmuseum.org/art/collection/search/36029
16.151,明   沈碩   仿仇英文玉圖   軸|Lady in a Bamboo Grove after Qiu Ying,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36030
18.124.2,,Ming dynasty (1368–1644) (?),Paintings,http://www.metmuseum.org/art/collection/search/36032
18.124.4,宋/元   佚名   百牛圖   卷|One hundred water buffalo,Southern Song (1127–1279) or Yuan (1271–1368) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/36033
18.124.12,明  佚名  婦女肖像 圖   鏡面|Portrait of a Lady,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36034
19.165,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36035
22.92,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36036
23.33.5,南宋  佚名  倣馬遠  松陰玩月圖  冊頁|Viewing the Moon under a Pine Tree,Southern Song dynasty (1127–1279),Paintings,http://www.metmuseum.org/art/collection/search/36037
29.20.2,明  佚名  柳馬圖  冊頁|Horse and Willow Tree,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36039
29.100.476,元 佚名 仕女像 軸|Portrait of a Lady,Yuan dynasty (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/36041
29.100.531,元　佚名　 陳容　僞款　雲行雨施圖　卷|Dragon and Landscape,Yuan dynasty (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/36042
29.100.945,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36043
42.74.1a–h,清 張宗蒼 山水 冊 紙本|Miniature landscapes,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36047
47.18.1,清  佚名  清明上河圖  卷|Spring Festival on the River,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36048
47.18.3,清  佚名  倣郭熙  溪山無盡圖  卷|Streams and Mountains Without End,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36049
47.18.19,明  倣林良  蘆鴨圖  軸|Ducks and Reeds,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36050
47.18.22,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36051
47.18.30,南宋  佚名  洞天論道圖   團扇|Conversation in a cave,Southern Song dynasty (1127–1279),Paintings,http://www.metmuseum.org/art/collection/search/36052
47.18.43a,,late Yuan (1271–1368)–early Ming (1368–1644) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/36053
47.18.55,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36054
47.18.63,南宋 馬麟 松下高士圖 冊頁 絹本|Landscape with great pine,Song dynasty (960–1279),Paintings,http://www.metmuseum.org/art/collection/search/36055
47.18.83,南宋  佚名  風雨拉縴圖  團扇|Towing a Boat in a Rainstorm,Song dynasty (960–1279),Paintings,http://www.metmuseum.org/art/collection/search/36056
47.18.103,"元   佚名   第六羅漢跋陀羅圖 軸|Bhadra, The Sixth Luohan",Yuan dynasty (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/36057
47.18.111,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36058
47.18.116,清　佚名　傳馬荃　花蝶圖　卷|Flowers and Butterflies,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36059
47.18.128,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36061
47.18.129,明　佚名　唐寅(僞款)　蕉葉仕女圖　卷|Beauty Sleeping on a Banana Leaf,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36062
47.18.133,,Southern Song dynasty (1127–1279),Paintings,http://www.metmuseum.org/art/collection/search/36063
47.18.136,南宋    佚名    冬景圖    團扇|Winter Landscape,Song dynasty (960–1279,Paintings,http://www.metmuseum.org/art/collection/search/36064
47.18.147,元/明 佚名 竹榻小憩圖 冊頁|Man Sleeping on a Bamboo Couch,Yuan (1271–1368)–Ming (1368–1644) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/36065
52.177.20,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36067
